Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;6175;47;510
128x128;1697;8;200
128x128;1535;4;289
128x128;1530;4;153
128x128;1554;3;220
256x256;6223;29;500
128x128;1538;4;316
512x512;24125;176;1383
256x256;6027;35;378
256x256;6180;16;356
128x128;1557;6;241
512x512;23999;189;1057
256x256;6126;34;523
256x256;6207;16;616
128x128;1596;8;233
256x256;6071;17;386
128x128;1527;4;225
128x128;1577;4;250
128x128;1490;3;236
128x128;1501;4;179
512x512;23910;174;1340
512x512;23863;174;1082
256x256;6097;36;407
256x256;6138;23;621
512x512;24544;205;1485
256x256;6075;38;532
128x128;1536;8;254
128x128;1543;3;239
256x256;6175;21;343
512x512;24198;186;1345
512x512;23998;153;1287
256x256;6114;38;536
256x256;6264;16;628
512x512;24084;165;1314
256x256;5960;31;379
256x256;6166;16;514
256x256;6155;17;470
128x128;1608;8;180
256x256;6204;18;397
512x512;24098;159;1405
256x256;6238;113;612
256x256;6496;51;459
128x128;1580;8;263
512x512;24802;190;1443
256x256;6121;35;410
256x256;6185;17;565
256x256;6206;21;341
128x128;1545;8;178
128x128;1494;3;230
256x256;5980;16;942
512x512;24372;169;1491
128x128;1525;6;239
512x512;23982;176;1108
256x256;6210;38;387
256x256;6216;18;432
256x256;6109;21;423
512x512;24129;174;1400
512x512;23949;157;1181
512x512;24003;165;1146
